Estimator,parameters,best_params,Scaler,Sampler,Clusterer,Feature Selector,Interaction feature,0_precision,0_recall,0_f1-score,1_precision,1_recall,1_f1-score,macro_avg_precision,macro_avg_recall,macro_avg_f1-score,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1-score,accuracy
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 11},StandardScaler,passtrough,KMeans,passthrough,passthrough,0.9651287553648068,0.9868348875479978,0.9758611337130458,0.8235294117647058,0.632768361581921,0.7156549520766772,0.8943290835647564,0.8098016245649593,0.8457580428948615,0.952597213456198,0.9555,0.9528328866382272,0.9555
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 5},StandardScaler,passtrough,KMeans,passthrough,PolynomialFeatures,0.9515957446808512,0.9813494240263302,0.9662435862813934,0.7166666666666667,0.4858757062146893,0.5791245791245792,0.8341312056737589,0.7336125651205098,0.7726840827029863,0.9308045212765956,0.9375,0.9319835541480154,0.9375
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 7},StandardScaler,passtrough,KMeans,SelectKBest,passthrough,0.9632,0.9906747120131651,0.9767441860465116,0.864,0.6101694915254238,0.7152317880794703,0.9136,0.8004221017692945,0.8459879870629909,0.9544207999999998,0.957,0.9536003388264284,0.957
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 7},StandardScaler,passtrough,KMeans,SelectKBest,PolynomialFeatures,0.9686337054758108,0.9994514536478332,0.9838012958963284,0.9915966386554622,0.6666666666666666,0.7972972972972974,0.9801151720656364,0.83305906015725,0.8905492965968129,0.9706659250622098,0.97,0.9672956920203142,0.97
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 7},StandardScaler,passtrough,KMeans,SelectFpr,passthrough,0.9646112600536192,0.9868348875479978,0.975596529284165,0.8222222222222222,0.6271186440677966,0.7115384615384616,0.8934167411379208,0.8069767658078972,0.8435674954113133,0.9520098302055406,0.955,0.9522273902886702,0.955
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 11},StandardScaler,passtrough,KMeans,SelectFpr,PolynomialFeatures,0.9492332099418296,0.9846407021393307,0.96661281637049,0.7431192660550459,0.4576271186440678,0.5664335664335665,0.8461762379984378,0.7211339103916993,0.7665231914020282,0.9309921259078492,0.938,0.9311969527510722,0.938
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 5},StandardScaler,passtrough,passthrough,passthrough,passthrough,0.9571655208884188,0.9928688974218322,0.9746903607969843,0.8807339449541285,0.5423728813559322,0.6713286713286714,0.9189497329212736,0.7676208893888822,0.8230095160628279,0.9504013264182342,0.953,0.9478428512790388,0.953
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 5},StandardScaler,passtrough,passthrough,passthrough,PolynomialFeatures,0.9592161016949152,0.9934174437739988,0.97601724602533,0.8928571428571429,0.5649717514124294,0.6920415224913495,0.926036622276029,0.7791945975932142,0.8340293842583397,0.9533433338377724,0.9555,0.9508853944925728,0.9555
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 3},StandardScaler,passtrough,passthrough,SelectKBest,passthrough,0.9667916443492234,0.9901261656609984,0.978319783197832,0.8646616541353384,0.6497175141242938,0.7419354838709677,0.9157266492422808,0.819921839892646,0.8601276335343999,0.9577531402152946,0.96,0.9573997727074044,0.96
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 7},StandardScaler,passtrough,passthrough,SelectKBest,PolynomialFeatures,0.9686337054758108,0.9994514536478332,0.9838012958963284,0.9915966386554622,0.6666666666666666,0.7972972972972974,0.9801151720656364,0.83305906015725,0.8905492965968129,0.9706659250622098,0.97,0.9672956920203142,0.97
